,0,1,2
0,God,and,0.3333333333333333
1,God,entitle,1.0
2,God,equal,1.0
3,God,laws,1.0
4,God,nature,0.5
5,God,of,0.2
6,God,s,1.0
7,God,separate,1.0
8,God,station,1.0
9,God,the,0.1111111111111111
10,God,them,0.3333333333333333
11,God,to,0.2
12,God,which,0.3333333333333333
13,When,course,1.0
14,When,events,1.0
15,When,human,1.0
16,When,in,1.0
17,When,of,0.2
18,When,the,0.1111111111111111
19,a,causes,1.0
20,a,decent,1.0
21,a,declare,1.0
22,a,impel,1.0
23,a,mankind,1.0
24,a,of,0.2
25,a,opinions,1.0
26,a,requires,1.0
27,a,respect,1.0
28,a,separation,1.0
29,a,should,1.0
30,a,that,1.0
31,a,the,0.1111111111111111
32,a,them,0.3333333333333333
33,a,they,1.0
34,a,to,0.2
35,a,which,0.3333333333333333
36,among,and,0.3333333333333333
37,among,assume,1.0
38,among,earth,1.0
39,among,of,0.2
40,among,powers,1.0
41,among,the,0.1111111111111111
42,among,to,0.2
43,and,assume,0.3333333333333333
44,and,earth,0.3333333333333333
45,and,entitle,0.3333333333333333
46,and,equal,0.3333333333333333
47,and,laws,0.3333333333333333
48,and,nature,0.16666666666666666
49,and,of,0.13333333333333333
50,and,powers,0.3333333333333333
51,and,s,0.3333333333333333
52,and,separate,0.3333333333333333
53,and,station,0.3333333333333333
54,and,the,0.07407407407407407
55,and,them,0.1111111111111111
56,and,to,0.13333333333333333
57,and,which,0.1111111111111111
58,another,becomes,1.0
59,another,bonds,1.0
60,another,connected,1.0
61,another,dissolve,1.0
62,another,for,1.0
63,another,have,1.0
64,another,it,1.0
65,another,necessary,1.0
66,another,one,1.0
67,another,people,1.0
68,another,political,1.0
69,another,the,0.1111111111111111
70,another,them,0.3333333333333333
71,another,to,0.2
72,another,which,0.3333333333333333
73,another,with,1.0
74,assume,earth,1.0
75,assume,of,0.2
76,assume,powers,1.0
77,assume,the,0.1111111111111111
78,assume,to,0.2
79,becomes,bonds,1.0
80,becomes,connected,1.0
81,becomes,dissolve,1.0
82,becomes,for,1.0
83,becomes,have,1.0
84,becomes,it,1.0
85,becomes,necessary,1.0
86,becomes,one,1.0
87,becomes,people,1.0
88,becomes,political,1.0
89,becomes,the,0.1111111111111111
90,becomes,them,0.3333333333333333
91,becomes,to,0.2
92,becomes,which,0.3333333333333333
93,becomes,with,1.0
94,bonds,connected,1.0
95,bonds,dissolve,1.0
96,bonds,for,1.0
97,bonds,have,1.0
98,bonds,it,1.0
99,bonds,necessary,1.0
100,bonds,one,1.0
101,bonds,people,1.0
102,bonds,political,1.0
103,bonds,the,0.1111111111111111
104,bonds,them,0.3333333333333333
105,bonds,to,0.2
106,bonds,which,0.3333333333333333
107,bonds,with,1.0
108,causes,decent,1.0
109,causes,declare,1.0
110,causes,impel,1.0
111,causes,mankind,1.0
112,causes,of,0.2
113,causes,opinions,1.0
114,causes,requires,1.0
115,causes,respect,1.0
116,causes,separation,1.0
117,causes,should,1.0
118,causes,that,1.0
119,causes,the,0.1111111111111111
120,causes,them,0.3333333333333333
121,causes,they,1.0
122,causes,to,0.2
123,causes,which,0.3333333333333333
124,connected,dissolve,1.0
125,connected,for,1.0
126,connected,have,1.0
127,connected,it,1.0
128,connected,necessary,1.0
129,connected,one,1.0
130,connected,people,1.0
131,connected,political,1.0
132,connected,the,0.1111111111111111
133,connected,them,0.3333333333333333
134,connected,to,0.2
135,connected,which,0.3333333333333333
136,connected,with,1.0
137,course,events,1.0
138,course,human,1.0
139,course,in,1.0
140,course,of,0.2
141,course,the,0.1111111111111111
142,decent,declare,1.0
143,decent,impel,1.0
144,decent,mankind,1.0
145,decent,of,0.2
146,decent,opinions,1.0
147,decent,requires,1.0
148,decent,respect,1.0
149,decent,separation,1.0
150,decent,should,1.0
151,decent,that,1.0
152,decent,the,0.1111111111111111
153,decent,them,0.3333333333333333
154,decent,they,1.0
155,decent,to,0.2
156,decent,which,0.3333333333333333
157,declare,impel,1.0
158,declare,mankind,1.0
159,declare,of,0.2
160,declare,opinions,1.0
161,declare,requires,1.0
162,declare,respect,1.0
163,declare,separation,1.0
164,declare,should,1.0
165,declare,that,1.0
166,declare,the,0.1111111111111111
167,declare,them,0.3333333333333333
168,declare,they,1.0
169,declare,to,0.2
170,declare,which,0.3333333333333333
171,dissolve,for,1.0
172,dissolve,have,1.0
173,dissolve,it,1.0
174,dissolve,necessary,1.0
175,dissolve,one,1.0
176,dissolve,people,1.0
177,dissolve,political,1.0
178,dissolve,the,0.1111111111111111
179,dissolve,them,0.3333333333333333
180,dissolve,to,0.2
181,dissolve,which,0.3333333333333333
182,dissolve,with,1.0
183,earth,of,0.2
184,earth,powers,1.0
185,earth,the,0.1111111111111111
186,earth,to,0.2
187,entitle,equal,1.0
188,entitle,laws,1.0
189,entitle,nature,0.5
190,entitle,of,0.2
191,entitle,s,1.0
192,entitle,separate,1.0
193,entitle,station,1.0
194,entitle,the,0.1111111111111111
195,entitle,them,0.3333333333333333
196,entitle,to,0.2
197,entitle,which,0.3333333333333333
198,equal,laws,1.0
199,equal,nature,0.5
200,equal,of,0.2
201,equal,s,1.0
202,equal,separate,1.0
203,equal,station,1.0
204,equal,the,0.1111111111111111
205,equal,them,0.3333333333333333
206,equal,to,0.2
207,equal,which,0.3333333333333333
208,events,human,1.0
209,events,in,1.0
210,events,of,0.2
211,events,the,0.1111111111111111
212,for,have,1.0
213,for,it,1.0
214,for,necessary,1.0
215,for,one,1.0
216,for,people,1.0
217,for,political,1.0
218,for,the,0.1111111111111111
219,for,them,0.3333333333333333
220,for,to,0.2
221,for,which,0.3333333333333333
222,for,with,1.0
223,have,it,1.0
224,have,necessary,1.0
225,have,one,1.0
226,have,people,1.0
227,have,political,1.0
228,have,the,0.1111111111111111
229,have,them,0.3333333333333333
230,have,to,0.2
231,have,which,0.3333333333333333
232,have,with,1.0
233,human,in,1.0
234,human,of,0.2
235,human,the,0.1111111111111111
236,impel,mankind,1.0
237,impel,of,0.2
238,impel,opinions,1.0
239,impel,requires,1.0
240,impel,respect,1.0
241,impel,separation,1.0
242,impel,should,1.0
243,impel,that,1.0
244,impel,the,0.1111111111111111
245,impel,them,0.3333333333333333
246,impel,they,1.0
247,impel,to,0.2
248,impel,which,0.3333333333333333
249,in,of,0.2
250,in,the,0.1111111111111111
251,it,necessary,1.0
252,it,one,1.0
253,it,people,1.0
254,it,political,1.0
255,it,the,0.1111111111111111
256,it,them,0.3333333333333333
257,it,to,0.2
258,it,which,0.3333333333333333
259,it,with,1.0
260,laws,nature,0.5
261,laws,of,0.2
262,laws,s,1.0
263,laws,separate,1.0
264,laws,station,1.0
265,laws,the,0.1111111111111111
266,laws,them,0.3333333333333333
267,laws,to,0.2
268,laws,which,0.3333333333333333
269,mankind,of,0.2
270,mankind,opinions,1.0
271,mankind,requires,1.0
272,mankind,respect,1.0
273,mankind,separation,1.0
274,mankind,should,1.0
275,mankind,that,1.0
276,mankind,the,0.1111111111111111
277,mankind,them,0.3333333333333333
278,mankind,they,1.0
279,mankind,to,0.2
280,mankind,which,0.3333333333333333
281,nature,of,0.1
282,nature,s,0.5
283,nature,separate,0.5
284,nature,station,0.5
285,nature,the,0.05555555555555555
286,nature,them,0.16666666666666666
287,nature,to,0.1
288,nature,which,0.16666666666666666
289,necessary,one,1.0
290,necessary,people,1.0
291,necessary,political,1.0
292,necessary,the,0.1111111111111111
293,necessary,them,0.3333333333333333
294,necessary,to,0.2
295,necessary,which,0.3333333333333333
296,necessary,with,1.0
297,of,opinions,0.2
298,of,powers,0.2
299,of,requires,0.2
300,of,respect,0.2
301,of,s,0.2
302,of,separate,0.2
303,of,separation,0.2
304,of,should,0.2
305,of,station,0.2
306,of,that,0.2
307,of,the,0.08888888888888889
308,of,them,0.13333333333333333
309,of,they,0.2
310,of,to,0.12
311,of,which,0.13333333333333333
312,one,people,1.0
313,one,political,1.0
314,one,the,0.1111111111111111
315,one,them,0.3333333333333333
316,one,to,0.2
317,one,which,0.3333333333333333
318,one,with,1.0
319,opinions,requires,1.0
320,opinions,respect,1.0
321,opinions,separation,1.0
322,opinions,should,1.0
323,opinions,that,1.0
324,opinions,the,0.1111111111111111
325,opinions,them,0.3333333333333333
326,opinions,they,1.0
327,opinions,to,0.2
328,opinions,which,0.3333333333333333
329,people,political,1.0
330,people,the,0.1111111111111111
331,people,them,0.3333333333333333
332,people,to,0.2
333,people,which,0.3333333333333333
334,people,with,1.0
335,political,the,0.1111111111111111
336,political,them,0.3333333333333333
337,political,to,0.2
338,political,which,0.3333333333333333
339,political,with,1.0
340,powers,the,0.1111111111111111
341,powers,to,0.2
342,requires,respect,1.0
343,requires,separation,1.0
344,requires,should,1.0
345,requires,that,1.0
346,requires,the,0.1111111111111111
347,requires,them,0.3333333333333333
348,requires,they,1.0
349,requires,to,0.2
350,requires,which,0.3333333333333333
351,respect,separation,1.0
352,respect,should,1.0
353,respect,that,1.0
354,respect,the,0.1111111111111111
355,respect,them,0.3333333333333333
356,respect,they,1.0
357,respect,to,0.2
358,respect,which,0.3333333333333333
359,s,separate,1.0
360,s,station,1.0
361,s,the,0.1111111111111111
362,s,them,0.3333333333333333
363,s,to,0.2
364,s,which,0.3333333333333333
365,separate,station,1.0
366,separate,the,0.1111111111111111
367,separate,them,0.3333333333333333
368,separate,to,0.2
369,separate,which,0.3333333333333333
370,separation,should,1.0
371,separation,that,1.0
372,separation,the,0.1111111111111111
373,separation,them,0.3333333333333333
374,separation,they,1.0
375,separation,to,0.2
376,separation,which,0.3333333333333333
377,should,that,1.0
378,should,the,0.1111111111111111
379,should,them,0.3333333333333333
380,should,they,1.0
381,should,to,0.2
382,should,which,0.3333333333333333
383,station,the,0.1111111111111111
384,station,them,0.3333333333333333
385,station,to,0.2
386,station,which,0.3333333333333333
387,that,the,0.1111111111111111
388,that,them,0.3333333333333333
389,that,they,1.0
390,that,to,0.2
391,that,which,0.3333333333333333
392,the,them,0.1111111111111111
393,the,they,0.1111111111111111
394,the,to,0.08888888888888889
395,the,which,0.1111111111111111
396,the,with,0.1111111111111111
397,them,they,0.3333333333333333
398,them,to,0.2
399,them,which,0.3333333333333333
400,them,with,0.3333333333333333
401,they,to,0.2
402,they,which,0.3333333333333333
403,to,which,0.2
404,to,with,0.2
405,which,with,0.3333333333333333
